Namespace(batchSize=32, discriminatorLR=1e-05, disp=50, dream_dataroot='/var/tmp/on63ilaw/mjsynth/sample_dreams_dataset', generatorLR=1e-05, nEpochs=20, nGPU=1, real_dataroot='/var/tmp/on63ilaw/mjsynth', workers=2)
SRGAN training
Generator loss 0.6171483397483826
Discriminator loss 1.457519292831421
Generator loss 0.6342552900314331
Discriminator loss 1.3711947202682495
Generator loss 0.7090345025062561
Discriminator loss 1.3352713584899902
Generator loss 0.7156998515129089
Discriminator loss 1.2974002361297607
Generator loss 0.7519493103027344
Discriminator loss 1.2786942720413208
Generator loss 0.7717466354370117
Discriminator loss 1.2038304805755615
Generator loss 0.8229920864105225
Discriminator loss 1.1837775707244873
Generator loss 0.8293359875679016
Discriminator loss 1.1691956520080566
Generator loss 0.8503955006599426
Discriminator loss 1.1421786546707153
Generator loss 0.8589332103729248
Discriminator loss 1.2044906616210938
Generator loss 0.8700523972511292
Discriminator loss 1.0806884765625
Generator loss 0.8779433369636536
Discriminator loss 1.0893518924713135
Generator loss 0.9218025803565979
Discriminator loss 1.1348376274108887
Generator loss 0.8938003778457642
Discriminator loss 1.0913212299346924
Generator loss 0.936899721622467
Discriminator loss 1.0094356536865234
Generator loss 0.9658159613609314
Discriminator loss 0.9582458734512329
Generator loss 0.9742293953895569
Discriminator loss 1.0850005149841309
Generator loss 0.9755202531814575
Discriminator loss 1.0532881021499634
Generator loss 0.9772149920463562
Discriminator loss 0.9683647751808167
Generator loss 1.0185630321502686
Discriminator loss 0.9157227277755737
Generator loss 1.0034116506576538
Discriminator loss 0.9488474130630493
Generator loss 1.020154356956482
Discriminator loss 0.9822732210159302
Generator loss 1.0346542596817017
Discriminator loss 0.8177593946456909
Generator loss 1.0719797611236572
Discriminator loss 0.9746363162994385
Generator loss 1.0487054586410522
Discriminator loss 0.9827492237091064
Generator loss 1.0415277481079102
Discriminator loss 0.9235395193099976
Generator loss 1.0850224494934082
Discriminator loss 0.9231985807418823
Generator loss 1.086687445640564
Discriminator loss 0.7315929532051086
Generator loss 1.0870476961135864
Discriminator loss 0.8131810426712036
